지역,연도,배출원,PM10,PM2.5
서울특별시,2011,에너지산업 연소,12506,12506
서울특별시,2011,비산업 연소,239704,172063
서울특별시,2011,제조업 연소,1281,880
서울특별시,2011,도로이동오염원,855981,787503
서울특별시,2011,비도로이동오염원,586314,539802
서울특별시,2011,폐기물처리,12797,9996
서울특별시,2011,기타 면오염원,33831,30448
서울특별시,2012,에너지산업 연소,12580,12580
서울특별시,2012,비산업 연소,234062,167491
서울특별시,2012,제조업 연소,1304,816
서울특별시,2012,도로이동오염원,793470,729992
서울특별시,2012,비도로이동오염원,634026,583303
서울특별시,2012,폐기물처리,16780,13625
서울특별시,2012,기타 면오염원,35247,31722
서울특별시,2013,에너지산업 연소,12733,12733
서울특별시,2013,비산업 연소,287471,201263
서울특별시,2013,제조업 연소,1174,704
서울특별시,2013,도로이동오염원,735914,677041
서울특별시,2013,비도로이동오염원,650466,598427
서울특별시,2013,폐기물처리,13175,10189
서울특별시,2013,기타 면오염원,34452,31006
서울특별시,2014,에너지산업 연소,7815,7815
서울특별시,2014,비산업 연소,202627,156688
서울특별시,2014,제조업 연소,1317,885
서울특별시,2014,도로이동오염원,600608,552559
서울특별시,2014,비도로이동오염원,564152,519019
서울특별시,2014,폐기물처리,11632,8886
서울특별시,2014,기타 면오염원,35582,32023
서울특별시,2015,에너지산업 연소,7341,7341
서울특별시,2015,비산업 연소,221928,167291
서울특별시,2015,제조업 연소,1611,1153
서울특별시,2015,도로이동오염원,531067,488582
서울특별시,2015,비도로이동오염원,657398,604805
서울특별시,2015,폐기물처리,9128,6999
서울특별시,2015,기타 면오염원,36302,32672
서울특별시,2015,비산먼지,7545457,1133052
서울특별시,2015,생물성 연소,152343,137765
서울특별시,2016,에너지산업 연소,6444,6444
서울특별시,2016,비산업 연소,204948,157084
서울특별시,2016,제조업 연소,944,718
서울특별시,2016,도로이동오염원,575899,529827
서울특별시,2016,비도로이동오염원,671650,617917
서울특별시,2016,폐기물처리,14558,11587
서울특별시,2016,기타 면오염원,39416,35474
서울특별시,2016,비산먼지,6946046,1064636
서울특별시,2016,생물성 연소,110610,100029
서울특별시,2017,에너지산업 연소,7768,7768
서울특별시,2017,비산업 연소,182048,144077
서울특별시,2017,제조업 연소,980,711
서울특별시,2017,도로이동오염원,546848,503100
서울특별시,2017,비도로이동오염원,934197,859460
서울특별시,2017,폐기물처리,10402,8149
서울특별시,2017,기타 면오염원,36763,33087
서울특별시,2017,비산먼지,8716136,1263391
서울특별시,2017,생물성 연소,117520,106161
서울특별시,2018,에너지산업 연소,7729,7729
서울특별시,2018,비산업 연소,166529,136746
서울특별시,2018,제조업 연소,626,507
서울특별시,2018,도로이동오염원,585472,538634
서울특별시,2018,비도로이동오염원,1648189,1516333
서울특별시,2018,폐기물처리,8213,6386
서울특별시,2018,기타 면오염원,38891,35002
서울특별시,2018,비산먼지,12573062,1640468
서울특별시,2018,생물성 연소,101288,91576
서울특별시,2019,에너지산업 연소,10821,10821
서울특별시,2019,비산업 연소,165673,135345
서울특별시,2019,제조업 연소,982,865
서울특별시,2019,도로이동오염원,349216,321279
서울특별시,2019,비도로이동오염원,1012518,931516
서울특별시,2019,폐기물처리,10919,8796
서울특별시,2019,기타 면오염원,36006,32405
서울특별시,2019,비산먼지,7973346,1180136
서울특별시,2019,생물성 연소,122750,111146
부산광역시,2011,에너지산업 연소,81661,79446
부산광역시,2011,비산업 연소,177130,110916
부산광역시,2011,제조업 연소,100102,51052
부산광역시,2011,생산공정,27847,21325
부산광역시,2011,도로이동오염원,507236,466657
부산광역시,2011,비도로이동오염원,2221671,2044125
부산광역시,2011,폐기물처리,6697,5466
부산광역시,2011,기타 면오염원,25075,22568
부산광역시,2012,에너지산업 연소,67295,64754
부산광역시,2012,비산업 연소,162681,104390
부산광역시,2012,제조업 연소,109679,44716
부산광역시,2012,생산공정,30843,23847
부산광역시,2012,도로이동오염원,524223,482285
부산광역시,2012,비도로이동오염원,2216504,2039183
부산광역시,2012,폐기물처리,5569,4496
부산광역시,2012,기타 면오염원,14205,12785
부산광역시,2013,에너지산업 연소,80386,78053
부산광역시,2013,비산업 연소,86789,61354
부산광역시,2013,제조업 연소,90741,39000
부산광역시,2013,생산공정,12529,9136
부산광역시,2013,도로이동오염원,463135,426084
부산광역시,2013,비도로이동오염원,2239675,2060500
부산광역시,2013,폐기물처리,7332,6332
부산광역시,2013,기타 면오염원,14265,12839
부산광역시,2014,에너지산업 연소,86528,82713
부산광역시,2014,비산업 연소,59484,43242
부산광역시,2014,제조업 연소,352329,154827
부산광역시,2014,생산공정,25067,18865
부산광역시,2014,도로이동오염원,362964,333926
부산광역시,2014,비도로이동오염원,1318735,1199354
부산광역시,2014,폐기물처리,5229,4463
부산광역시,2014,기타 면오염원,12635,11372
부산광역시,2015,에너지산업 연소,49420,47128
부산광역시,2015,비산업 연소,63677,45987
부산광역시,2015,제조업 연소,246704,106711
부산광역시,2015,생산공정,14526,10637
부산광역시,2015,도로이동오염원,303654,279362
부산광역시,2015,비도로이동오염원,1293584,1178037
부산광역시,2015,폐기물처리,6461,5606
부산광역시,2015,기타 면오염원,12179,10961
부산광역시,2015,비산먼지,4534794,701864
부산광역시,2015,생물성 연소,81779,71212
부산광역시,2016,에너지산업 연소,59350,56654
부산광역시,2016,비산업 연소,65136,47732
부산광역시,2016,제조업 연소,198233,81044
부산광역시,2016,생산공정,15978,11659
부산광역시,2016,도로이동오염원,309041,284317
부산광역시,2016,비도로이동오염원,1344324,1224259
부산광역시,2016,폐기물처리,12754,10777
부산광역시,2016,기타 면오염원,13538,12184
부산광역시,2016,비산먼지,4813948,753884
부산광역시,2016,생물성 연소,70904,61228
부산광역시,2017,에너지산업 연소,50823,47686
부산광역시,2017,비산업 연소,56678,42477
부산광역시,2017,제조업 연소,204226,85953
부산광역시,2017,생산공정,18866,13663
부산광역시,2017,도로이동오염원,303622,279332
부산광역시,2017,비도로이동오염원,1433529,1313499
부산광역시,2017,폐기물처리,9198,7567
부산광역시,2017,기타 면오염원,15976,14378
부산광역시,2017,비산먼지,4785195,743290
부산광역시,2017,생물성 연소,79445,69046
부산광역시,2018,에너지산업 연소,68998,65661
부산광역시,2018,비산업 연소,54193,42320
부산광역시,2018,제조업 연소,178207,74427
부산광역시,2018,생산공정,12405,8928
부산광역시,2018,도로이동오염원,291566,268241
부산광역시,2018,비도로이동오염원,1459113,1337890
부산광역시,2018,폐기물처리,5891,5088
부산광역시,2018,기타 면오염원,22259,20034
부산광역시,2018,비산먼지,4719928,758135
부산광역시,2018,생물성 연소,73034,63391
부산광역시,2019,에너지산업 연소,52119,49709
부산광역시,2019,비산업 연소,49997,40193
부산광역시,2019,제조업 연소,154540,64671
부산광역시,2019,생산공정,9801,7056
부산광역시,2019,도로이동오염원,213121,196071
부산광역시,2019,비도로이동오염원,1527551,1398339
부산광역시,2019,폐기물처리,5984,5224
부산광역시,2019,기타 면오염원,22829,20546
부산광역시,2019,비산먼지,4113844,668698
부산광역시,2019,생물성 연소,82870,72322
대구광역시,2011,에너지산업 연소,34880,26096
대구광역시,2011,비산업 연소,88503,51302
대구광역시,2011,제조업 연소,408693,146314
대구광역시,2011,생산공정,1511,1316
대구광역시,2011,도로이동오염원,534988,492189
대구광역시,2011,비도로이동오염원,151612,139576
대구광역시,2011,폐기물처리,7693,6728
대구광역시,2011,기타 면오염원,12194,10974
대구광역시,2012,에너지산업 연소,33797,26097
대구광역시,2012,비산업 연소,83507,50184
대구광역시,2012,제조업 연소,479336,168291
대구광역시,2012,생산공정,1369,1191
대구광역시,2012,도로이동오염원,538945,495829
대구광역시,2012,비도로이동오염원,205891,189420
대구광역시,2012,폐기물처리,7062,6165
대구광역시,2012,기타 면오염원,10729,9656
대구광역시,2013,에너지산업 연소,31180,23223
대구광역시,2013,비산업 연소,84110,50120
대구광역시,2013,제조업 연소,344095,120980
대구광역시,2013,생산공정,1391,1210
대구광역시,2013,도로이동오염원,487711,448694
대구광역시,2013,비도로이동오염원,347089,319322
대구광역시,2013,폐기물처리,5400,4577
대구광역시,2013,기타 면오염원,9391,8451
대구광역시,2014,에너지산업 연소,20906,15146
대구광역시,2014,비산업 연소,54915,35397
대구광역시,2014,제조업 연소,1702465,735893
대구광역시,2014,생산공정,1204,1029
대구광역시,2014,도로이동오염원,426448,392333
대구광역시,2014,비도로이동오염원,310550,285705
대구광역시,2014,폐기물처리,5007,4236
